%Annee Mois Jour Heure Minute Sec Conc MES
% - - - - - - (g/L)
% Parcelle NT
1997	6	1	15	58	0	 7.90
1997	6	1	16	0	0	 8.84
1997	6	1	16	11	0	26.66
1997	6	1	16	12	0	28.53
1997	6	1	16	16	0	15.47
1997	6	1	16	17	0	10.97
1997	6	1	16	21	0	15.79
1997	6	1	16	22	0	17.30
1997	6	1	16	25	0	 7.80
1997	6	1	16	27	0	 3.05
1997	6	1	16	31	0	 3.63
1997	6	1	16	37	0	 5.43
1997	6	1	16	39	0	 1.63
1997	6	1	17	17	0	 2.20
1997	6	1	17	27	0	 6.74
1997	6	1	17	30	0	 8.62
1997	6	1	17	36	0	12.40
1997	6	1	17	37	0	 7.73
1997	6	1	17	48	0	 2.07
1997	6	1	17	57	0	 5.33
1997	6	1	18	29	0	 7.97
1997	6	1	18	37	0	 7.52
1997	6	1	18	38	0	 8.07
1997	6	1	19	20	0	 9.68
1997	6	1	19	25	0	 2.85











