long_uh,larg_uh,nb_motifs,nb_unit,larg_rill,seuil_min,seuil_conv,rugo_strickler,sdr_max,ruissel_max,aggrstab,mwd,k_euro,surf_couvert,haut_canopee,coh,d50_sed,dens_sed,visc_fluide,dens_fluide,coeff_phi,pente_uh,aire_uh
169.475661969499,169.475661969499,1,1,1,0.001,1e-06,5,0.25,50,8,6e-04,0.3,0.15,0.8,4,1e-05,2.65,1e-06,1,0.02,0.032431,28722
67.7675507020281,641,1,1,1,0.001,1e-06,5,0.25,50,8,6e-04,0.3,0.15,0.8,4,1e-05,2.65,1e-06,1,0.02,0.01915,43439
61.6180665610143,631,1,1,1,0.001,1e-06,5,0.25,50,8,6e-04,0.3,0.15,0.8,4,1e-05,2.65,1e-06,1,0.02,0.015112,38881
158.158148699332,158.158148699332,1,1,1,0.001,1e-06,5,0.25,50,8,6e-04,0.3,0.15,0.8,4,1e-05,2.65,1e-06,1,0.02,0.020561,25014
52.3102310231023,606,1,1,1,0.001,1e-06,5,0.25,50,8,6e-04,0.3,0.15,0.8,4,1e-05,2.65,1e-06,1,0.02,0.022271,31700
39.4311475409836,610,1,1,1,0.001,1e-06,5,0.25,50,8,6e-04,0.3,0.15,0.8,4,1e-05,2.65,1e-06,1,0.02,0.02584,24053
195.181966380094,195.181966380094,2,1,1,0.001,1e-06,5,0.25,50,8,6e-04,0.3,0.15,0.8,4,1e-05,2.65,1e-06,1,0.02,0.015883,38096
57.2140957446809,752,4,1,1,0.001,1e-06,5,0.25,50,8,6e-04,0.3,0.15,0.8,4,1e-05,2.65,1e-06,1,0.02,0.065459,43025
67.812,750,3,1,1,0.001,1e-06,5,0.25,50,8,6e-04,0.3,0.15,0.8,4,1e-05,2.65,1e-06,1,0.02,0.046775,50859
21.3345588235294,272,1,1,1,0.001,1e-06,5,0.25,50,8,6e-04,0.3,0.15,0.8,4,1e-05,2.65,1e-06,1,0.02,0.09544,5803
32.4538745387454,271,1,1,1,0.001,1e-06,5,0.25,50,8,6e-04,0.3,0.15,0.8,4,1e-05,2.65,1e-06,1,0.02,0.104078,8795
91.009842519685,508,3,1,1,0.001,1e-06,5,0.25,50,8,6e-04,0.3,0.15,0.8,4,1e-05,2.65,1e-06,1,0.02,0.041786,46233
134.73031496063,508,4,1,1,0.001,1e-06,5,0.25,50,8,6e-04,0.3,0.15,0.8,4,1e-05,2.65,1e-06,1,0.02,0.034663,68443
42.0689655172414,145,1,1,1,0.001,1e-06,5,0.25,50,8,6e-04,0.3,0.15,0.8,4,1e-05,2.65,1e-06,1,0.02,0.06008,6100
